EmployeeID,Component,Y16_Mean_Component_Score,Y15_Mean_Component_Score,Y14_Mean_Component_Score
0967065,3c,4.00,4.00,3.83
0967065,3d,4.00,4.00,3.80
0967065,4e,4.00,4.00,4.00
0968671,1a,3.75,3.33,3.50
0968671,1e,3.75,4.00,4.00
0968671,2a,4.00,3.67,3.50
0968671,2d,4.00,4.00,4.00
0968671,3b,4.00,3.50,3.00
0968671,3c,3.67,3.25,4.00
0968671,3d,3.67,3.75,3.75
0968671,4e,4.00,3.00,4.00
0971992,1a,4.00,4.00,3.66
0971992,1e,4.00,4.00,3.66
0971992,2a,4.00,4.00,3.00
0971992,2d,4.00,4.00,3.00
0971992,3b,3.00,4.00,3.00
0971992,3c,3.33,3.67,3.40
0971992,3d,4.00,4.00,3.50
0971992,4e,3.00,3.50,3.00
0989452,1a,2.33,2.67,3.00
0989452,1e,2.20,2.20,3.00
0989452,2a,3.00,3.00,3.25
0989452,2d,3.00,2.67,3.25
0989452,3b,3.00,2.50,2.00
0989452,3c,2.33,2.00,2.25
0989452,3d,2.00,1.50,2.00
0989452,4e,3.00,2.50,3.00
0991648,1a,3.00,2.80,3.00
0991648,1e,2.67,2.80,2.00
0991648,2a,3.50,3.00,3.00
0991648,2d,3.00,3.00,3.00
0991648,3b,3.00,2.00,2.75
0991648,3c,2.75,2.75,2.75
0991648,3d,2.00,3.00,2.50
0991648,4e,2.50,3.50,3.00
0992530,1a,4.00,4.00,4.00
0992530,1e,4.00,4.00,4.00
0992530,2a,4.00,4.00,4.00
0992530,2d,4.00,4.00,4.00
0992530,3b,4.00,4.00,4.00
0992530,3c,4.00,4.00,4.00
0992530,3d,4.00,4.00,4.00
0992530,4e,4.00,4.00,4.00
1004214,1a,4.00,4.00,4.00
1004214,1e,3.75,4.00,4.00
1004214,2a,4.00,4.00,4.00
1004214,2d,4.00,4.00,4.00
1004214,3b,3.00,4.00,2.00
1004214,3c,3.75,4.00,3.50
1004214,3d,3.67,4.00,3.00
1004214,4e,4.00,4.00,3.50
1011158,1a,3.67,4.00,3.00
1011158,1e,3.25,4.00,4.00
1011158,2a,4.00,4.00,4.00
1011158,2d,4.00,4.00,4.00
1011158,3b,3.00,3.67,3.00
1011158,3c,3.25,3.75,3.25
1011158,3d,3.25,3.50,3.66
1011158,4e,3.67,3.00,4.00
1019780,1a,3.50,4.00,3.00
1019780,1e,3.50,4.00,4.00
1019780,2a,4.00,4.00,3.50
1019780,2d,4.00,4.00,3.50
1019780,3b,3.00,3.00,2.66
1019780,3c,3.00,3.33,3.00
1019780,3d,3.00,3.00,2.00
1019780,4e,3.50,3.67,3.00
1027469,1a,3.75,4.00,3.00
1027469,1e,3.50,3.25,3.50
1027469,2a,4.00,4.00,3.50
1027469,2d,4.00,4.00,3.00
1027469,3b,3.33,3.33,3.25
1027469,3c,3.50,4.00,3.00
1027469,3d,3.00,3.00,3.00
1027469,4e,3.00,3.00,3.00
1031175,1a,3.60,3.00,3.00
1031175,1e,3.33,3.40,3.00
1031175,2a,3.33,3.67,3.50
1031175,2d,3.67,3.00,3.00
1031175,3b,3.00,3.00,2.00
1031175,3c,3.25,3.50,3.25
1031175,3d,3.00,3.00,2.50
1031175,4e,3.25,3.33,3.50
1032699,1a,3.50,3.00,1.50
1032699,1e,3.00,3.00,2.00
1032699,2a,3.75,3.50,3.00
1032699,2d,3.50,3.50,3.00
1032699,3b,2.75,2.75,2.00
1032699,3c,3.00,3.25,2.25
1032699,3d,3.00,3.00,2.00
1032699,4e,3.00,3.00,2.00
1035320,1a,4.00,4.00,4.00
1035320,1e,4.00,4.00,3.00
1035320,2a,4.00,4.00,4.00
1035320,2d,4.00,4.00,4.00
1035320,3b,3.33,4.00,4.00
1035320,3c,4.00,4.00,3.75
1035320,3d,4.00,4.00,4.00
1035320,4e,3.50,4.00,4.00
1066649,1a,2.25,2.00,NULL
1066649,1e,2.25,2.00,NULL
1066649,2a,2.75,3.00,NULL
1066649,2d,2.50,2.50,NULL
1066649,3b,2.25,2.25,NULL
1066649,3c,2.25,2.25,NULL
1066649,3d,2.50,2.00,NULL
1066649,4e,3.00,3.00,NULL
1080044,1a,3.00,4.00,3.00
1080044,1e,3.00,4.00,3.00
1080044,2a,3.00,4.00,3.60
1080044,2d,3.00,3.75,3.00
1080044,3b,3.00,3.50,3.00
1080044,3c,3.00,4.00,3.40
1080044,3d,3.00,4.00,3.75
1080044,4e,3.00,4.00,4.00
1114504,1a,4.00,4.00,NULL
1114504,1e,4.00,4.00,NULL
1114504,2a,4.00,4.00,NULL
1114504,2d,4.00,4.00,NULL
1114504,3b,3.67,3.80,NULL
1114504,3c,3.75,4.00,NULL
1114504,3d,3.75,3.50,NULL
1114504,4e,3.50,3.25,NULL
1114751,1a,4.00,4.00,4.00
1114751,1e,4.00,4.00,4.00
1114751,2a,4.00,4.00,4.00
1114751,2d,4.00,4.00,4.00
1114751,3b,3.33,4.00,4.00
1114751,3c,4.00,4.00,4.00
1114751,3d,4.00,3.67,3.50
1114751,4e,3.50,4.00,4.00
1121437,1a,3.25,3.25,3.00
1121437,1e,3.25,3.50,3.50
1121437,2a,4.00,3.75,3.66
1121437,2d,4.00,3.75,3.66
1121437,3b,3.25,3.00,2.00
1121437,3c,3.25,3.00,3.00
1121437,3d,3.25,3.50,3.00
1121437,4e,3.00,3.00,3.00
1158211,1a,4.00,3.67,4.00
1158211,1e,4.00,4.00,4.00
1158211,2a,4.00,4.00,3.75
1158211,2d,4.00,4.00,4.00
1158211,3b,3.75,3.67,3.00
1158211,3c,4.00,3.75,3.25
1158211,3d,4.00,3.75,3.50
1158211,4e,3.00,3.50,3.50
1158303,1a,3.50,3.67,4.00
1158303,1e,3.75,3.25,3.80
1158303,2a,4.00,4.00,3.80
1158303,2d,4.00,4.00,4.00
1158303,3b,3.33,3.25,3.80
1158303,3c,3.50,3.50,3.40
1158303,3d,3.75,3.67,3.20
1158303,4e,3.00,4.00,4.00
1158659,1a,2.20,2.40,NULL
1158659,1e,2.20,2.00,NULL
1158659,2a,2.83,2.33,NULL
1158659,2d,2.83,2.80,NULL
1158659,3b,2.00,2.20,NULL
1158659,3c,2.33,2.17,NULL
1158659,3d,1.60,2.00,NULL
1158659,4e,2.00,2.67,NULL
1209536,1a,3.15,3.00,NULL
1209536,1e,3.46,3.14,NULL
1209536,2a,3.44,3.00,NULL
1209536,2d,3.22,3.14,NULL
1209536,3b,2.88,2.86,NULL
1209536,3c,3.11,3.00,NULL
1209536,3d,2.67,3.00,NULL
1209536,4e,4.00,3.80,NULL
1267388,1a,1.40,2.75,3.00
1267388,1e,2.00,2.20,2.66
1267388,2a,3.00,4.00,3.50
1267388,2d,3.00,3.00,3.00
1267388,3b,2.00,3.00,2.00
1267388,3c,2.00,2.75,2.66
1267388,3d,1.67,2.50,2.66
1267388,4e,2.00,3.50,3.00
1270912,1a,3.67,4.00,4.00
1270912,1e,3.75,4.00,4.00
1270912,2a,4.00,4.00,3.50
1270912,2d,4.00,4.00,3.00
1270912,3b,3.00,3.33,3.33
1270912,3c,3.50,3.75,3.00
1270912,3d,3.50,4.00,3.66
1270912,4e,3.00,4.00,3.50
1272028,1a,3.00,3.00,3.25
1272028,1e,3.00,3.00,3.00
1272028,2a,4.00,4.00,4.00
1272028,2d,4.00,4.00,3.00
1272028,3b,3.33,3.25,2.50
1272028,3c,3.00,3.75,3.25
1272028,3d,3.25,3.67,3.00
1272028,4e,3.00,3.00,3.50
1285142,1a,3.00,2.75,3.00
1285142,1e,2.80,2.25,3.00
1285142,2a,4.00,3.50,2.75
1285142,2d,3.00,3.00,2.75
1285142,3b,3.00,2.00,2.50
1285142,3c,3.67,3.00,2.25
1285142,3d,3.00,2.33,2.00
1285142,4e,3.33,3.67,3.00
1315674,1a,4.00,4.00,3.00
1315674,1e,4.00,4.00,3.66
1315674,2a,4.00,4.00,3.75
1315674,2d,4.00,3.75,3.66
1315674,3b,3.33,3.00,3.00
1315674,3c,4.00,4.00,3.00
1315674,3d,3.75,4.00,3.00
1315674,4e,4.00,4.00,3.00
1323268,1a,3.25,2.80,3.00
1323268,1e,3.00,3.00,3.00
1323268,2a,4.00,3.67,2.75
1323268,2d,3.00,3.33,3.00
1323268,3b,2.00,2.00,2.50
1323268,3c,3.50,2.67,3.00
1323268,3d,2.50,2.50,2.00
1323268,4e,3.50,3.17,3.00
1351650,1a,2.20,3.00,2.00
1351650,1e,2.14,2.50,2.00
1351650,2a,2.67,3.00,3.00
1351650,2d,3.00,3.00,3.00
1351650,3b,2.25,3.00,2.33
1351650,3c,2.00,3.00,2.16
1351650,3d,2.00,2.00,2.16
1351650,4e,3.00,2.00,3.16
1355587,1a,4.00,4.00,NULL
1355587,1e,4.00,4.00,NULL
1355587,2a,4.00,4.00,NULL
1355587,2d,4.00,4.00,NULL
1355587,3b,3.67,3.67,NULL
